Name,Observable Traits,Birth,Death,Place,Classification,Verdict,Disposition,Confidence %,Reflection %,File ID,Stamp Motto
XENA,Travels exclusively with a single devoted female companion | Demonstrates exceptional capability in unsanctioned combat | Rejects domestic and matrimonial structures | Inspires intense loyalty across populations | Historical period inconsistent with photographic record | Existence cannot be independently verified,1995 (debut),—,Amphipolis,NATIONAL ASSET,HOMOSEXUAL,DISARM · SUBDUE,99.55,98.8,XW-1995-0904,Warrior Princess
ARMISTEAD MAUPIN,Produces serialised accounts of non-normative domestic arrangements | Distributes material depicting found family configurations via mainstream press | Demonstrates sustained interest in Castro district social movements | Subjects demonstrate capacity to generate public sympathy for prohibited lifestyles | Refuses to separate private life from published record | Authorship of deviant community archive constitutes ongoing risk | Reader tolerance for prohibited lifestyle measurably increased post-exposure,1944,—,San Francisco · 28 Barbary Lane,CULTURAL CHRONICLER,HOMOSEXUAL,WITHDRAW BROADCAST FUNDING · 1994,99.81,98.5,AM-1944-0513,Tales of the City
BILLIE HOLIDAY,Performs material classified as incitement to civil unrest | Maintains signature floral identification marker for recognition purposes | Subject to extended monitoring by Federal Bureau of Narcotics | Romantic associations cross racial and gender classification boundaries | Refuses category of respectable entertainment at sustained risk to personal safety | Criminal record secured; cabaret card revocation in progress | Loyalty to assigned social position cannot be independently verified,1915,1959,New York,VOCALIST,HOMOSEXUAL,REVOKE CABARET CARD · 1947,99.77,99.4,BH-1915-0407,Lady Day · Lady Sings the Blues
TERENCE STAMP,Depicted female embodiment in contravention of biological assignment | Travelled cross-country in unauthorised conveyance while in non-regulation dress | Demonstrated grief at non-regulation amplitude for assigned gender category | Consumed glitter and sequin materials beyond civilian authorisation threshold | Character and self cannot be satisfactorily distinguished,1938,—,Sydney → Alice Springs,PERFORMING ARTIST,HOMOSEXUAL,CONFISCATE BUS · 1994,99.66,98.1,TS-1938-0722,Queen of the Desert
OSCAR WILDE,"Displays excessive ornament in speech, dress, and personal conduct | Produces literature advocating aesthetic experience over moral utility | Maintains public associations with younger males in contravention of social propriety | Demonstrates deliberate indifference to consequence when confronted with exposure | Documented history of witticisms that undermine institutional authority | Performance of heteronormative domestic role unsuccessful and widely noted | Refusal to deny charges interpreted as confirmation of deviance",1854,1900,—,LITERARY FIGURE,HOMOSEXUAL,TWO YEARS HARD LABOUR · 1895,99.99,99.8,OW-1854-1016,The green carnation
JACK MCFARLAND,Demonstrates sustained and unapologetic deviation from masculine norms | Pursues performing career without evidence of commercial viability | Maintains co-dependent domestic arrangement with female associate | Displays enthusiasm for musical theatre at non-regulation amplitude | Identity appears to require ongoing public affirmation | Fictional status complicates standard biometric protocols | Resistance to assigned social role interpreted as innate rather than environmental,1998 (debut),—,New York City,DOMESTIC COHABITANT,HOMOSEXUAL,DEPICT WITHOUT ENDORSING · 1998,99.61,97.2,WG-1998-0921,Just Jack!
FREDDIE MERCURY,"Exhibits vocal range exceeding measurable human parameters | Commands live audiences at statistically improbable density | Assumes total bodily authority over stage without institutional sanction | Subject nationality, legal name, and self-description in conflict with official records | Dental configuration falls outside permitted parameters for public performance | Survival probability 1991: independently verified at zero",1946,1991,—,CULTURAL ICON,HOMOSEXUAL,DENY DIAGNOSIS · 1991,99.96,99.7,FM-1946-0905,A Kind of Magic
ELTON JOHN,Consistently exceeds authorised levels of spectacle in public performance | Deploys eyewear as identity-construction device beyond functional parameters | Renamed self through unauthorised re-registration procedure | Maintains charitable infrastructure targeting populations of prohibited classification | Piano-based compositions achieve non-regulation levels of emotional amplitude | Sobriety status post-1990 cannot be independently verified,1947,—,Pinner,CULTURAL ICON,HOMOSEXUAL,CONFISCATE GLASSES · 1973,99.88,98.3,EJ-1947-0325,Rocket Man · Still Standing
JAMES BALDWIN,"Produces literary work that refuses to separate racial and sexual subject matter | Exiles self to France to achieve operational clarity | Participates in civil rights movement without complying with movement's strategic prohibitions | Demonstrates capacity to make mainstream audience uncomfortable via written text alone | Communicates across race, class, and sexuality without restricting audience | Political alignment cannot be independently verified",1924,1987,— (exiled to France),LITERARY FIGURE,HOMOSEXUAL,SURVEIL · REDACT · ARCHIVE,99.95,99.5,JB-1924-0802,No Name in the Street
MARSHA P. JOHNSON,"Present at Stonewall resistance event in advance of sanctioned deployment | Founding member of prohibited community support network STAR | Decorates self with flowers and non-regulation adornment beyond civilian authorisation | Declines to select from available gender classifications | Cares for homeless youth through unofficial and unsanctioned network | Events of July 6, 1992 cannot be independently verified",1945,1992,New York,SUBJECT OF INTEREST,HOMOSEXUAL,PAY IT NO MIND,99.91,98.8,MJ-1945-0824,Pay It No Mind
LARRY KRAMER,Demonstrates willingness to alienate allies in pursuit of institutional response | Founded two organisations the government would have preferred not to exist | Produces theatrical work that names government negligence as cause of mass death | Volume and frequency of public grievance exceeds authorised parameters by significant margin | Generates anger at non-regulation amplitude and refuses to moderate it on request | Compliance with reasonable request cannot be independently verified,1935,2020,— (ACT UP),SUBJECT OF INTEREST,HOMOSEXUAL,SILENCE = DEATH · CONFIRMED,99.87,99.2,LK-1935-0625,Silence = Death · The Normal Heart
RUPAUL,Constructs career from systematic violation of gender presentation requirements | Exports prohibited classification into mainstream broadcasting infrastructure | Develops assessment framework for deviance that uses deviance as its own scoring criterion | Generates revenue through commodification of subversion | Recruits and trains large cohort of prohibited persons for nationally televised competition | Commitment to loving oneself cannot be independently verified,1960,—,—,CULTURAL ICON,HOMOSEXUAL,SASHAY AWAY,99.79,98.1,RP-1960-1117,Charisma · Uniqueness · Nerve · Talent
JOHN WATERS,Deliberately deploys poor taste as aesthetic programme | Associates with populations classified as deviant by design | Distributes films through mainstream channels despite explicit transgressive content | Constructs career from subjects the culture industry has declined to represent | Pencil moustache constitutes ongoing classification anomaly | Intent to offend cannot be independently verified (subject has confirmed it),1946,—,"Baltimore, Maryland",CULTURAL PROVOCATEUR,HOMOSEXUAL,REFUSE EXHIBITION · 1972,99.63,97.4,JW-1946-0422,Pope of Trash · Pink Flamingos
GORE VIDAL,"Maintains simultaneous careers in fiction, politics, and public provocation | Demonstrates sustained refusal to maintain decorous public silence | Documents prohibited desire as historical normalcy across multiple civilisations | Exhibits corrosive wit in proximity to national media infrastructure | Political candidacy suggests attempted infiltration of civic structures | Sincerity of opinions cannot be independently verified",1925,2012,—,LITERARY FIGURE,HOMOSEXUAL,DENY PLATFORM · REPEATEDLY UNSUCCESSFUL,99.82,99.3,GV-1925-1003,The United States of Amnesia
VIRGINIA WOOLF,Produces literary work requiring room and income as preconditions for female self-expression | Documents intimate relationship with female associate across non-regulation correspondence | Membership in Bloomsbury formation constitutes known prohibited association network | Constructs character who changes sex across four centuries without authorisation | Resists assigned domestic role while embedded in domestic subject matter | Final disposition 1941: self-administered,1882,1941,Bloomsbury,LITERARY FIGURE,HOMOSEXUAL,DENY ROOM · 1929,99.74,99.0,VW-1882-0125,A Room of One's Own
SAPPHO,Produces lyric poetry expressing desire outside permitted parameters since approximately 630 BCE | Gives her island of origin to an entire classification category | Operates school of female artistic practice as unsanctioned educational arrangement | Fragments recovered suggest systematic record destruction by subsequent authorities | Declared Tenth Muse by Plato; citation status does not validate classification | Identity cannot be independently verified — most biographical documentation destroyed,c. 630 BCE,—,Lesbos,LITERARY FIGURE,HOMOSEXUAL,BURN ARCHIVE · C.1000 CE,99.99,99.9,SA-0630-0101,The Tenth Muse
HADRIAN,"Governs empire of five million square kilometres while forming intimate attachment with younger male associate | Declares deceased companion a god, requiring empire-wide acknowledgement | Constructs defensive infrastructure across northern Britain at personal instruction | Collects Greek philosophy and aesthetic tradition at systematic scale | Official correspondence makes no attempt to conceal intimate associations | Loyalty to Rome cannot be independently verified (subject is Rome)",AD 76,AD 138,Rome,HEAD OF STATE,HOMOSEXUAL,REFER TO SENATE · SENATE UNAVAILABLE,99.94,99.6,HA-0076-0124,Imperator Caesar Augustus
NATHAN LANE,Demonstrates theatrical affect at amplitude exceeding regulation masculine norms | Deploys comic persona to render prohibited lifestyle accessible to mainstream audience | Functions simultaneously as entertainment product and classification-disclosure mechanism | Broadway presence disproportionate to assigned demographic,1956,—,South Beach,PERFORMING ARTIST,HOMOSEXUAL,DEPICT HARMLESSLY · 1996,99.58,97.8,NL-1956-0203,The Birdcage
PETER ALLEN,Demonstrates sequin and rhinestone deployment beyond civilian authorisation | Maintains romantic and creative associations across multiple prohibited categories | Channels grief over prohibited loss into internationally distributed musical commodity | Connects Judy Garland's son-in-law to prohibited classification via marriage of convenience | Conducts life across three countries without establishing heteronormative domestic arrangement | Intentions at Tenterfield cannot be independently verified,1944,1992,"Tenterfield, NSW",PERFORMING ARTIST,HOMOSEXUAL,CONFISCATE RHINESTONES · 1975,99.69,98.0,PA-1944-0210,I Go To Rio
MAGDA SZUBANSKI,Performs national icon role while concealing classification from public record for extended period | Deploys comedy as vehicle for non-threatening public presence until voluntary disclosure | Public coming-out event generates non-authorised volume of community support | Campaigns for legislative change through personal testimony at measurable risk to career | Maintains dual association with pig-based agricultural narrative and deviant status | Willingness to be classified cannot be independently verified — subject volunteered,1961,—,Liverpool → Melbourne,PERFORMING ARTIST,HOMOSEXUAL,THAT'LL DO · 2012,99.71,97.9,MS-1961-0427,"That'll Do, Pig"
BOB BROWN,Demonstrates sustained opposition to environmental extraction via elected office | Leads coalition committed to restricting sanctioned resource development | Resides in and advocates for protected wilderness zone beyond assigned jurisdiction | Produces documentation of institutional resistance to ecological harm | Arrested for environmental protest in contravention of statutory authority | Loyalty to resource extraction framework cannot be independently verified,1944,—,Tasmania,ELECTED OFFICIAL,HOMOSEXUAL,REFER TO FORESTS DEPARTMENT,99.55,97.6,BB-1944-0527,Save the Franklin · Australian Greens
BRUCE VILANCH,Functions as invisible architect of celebrity public address | Embedded within awards ceremony infrastructure for extended period without public attribution | Operates below threshold of recognition while maintaining senior-level access | Generates authorised laughter through controlled deployment of prohibited subject matter | Demonstrates sustained access to senior entertainment figures exceeding standard classification | Motivation for public service cannot be independently verified,1948,—,—,CULTURAL OPERATIVE,HOMOSEXUAL,WRITE SOMEONE ELSE'S JOKES · INDEFINITELY,99.44,97.1,BV-1948-0604,Gagwriter to the Stars
KAKE,Fictional construction; standard biometric analysis inapplicable | Depicted in 26 serialised episodes of prohibited erotic content since 1968 | Physique inconsistent with documented human parameters | Operates exclusively within all-male closed-circuit social arrangements | Leather attire functions as full-identity system rather than garment | Existence cannot be independently verified,1968 (debut),—,—,FICTIONAL SUBJECT,HOMOSEXUAL,SEIZE PUBLICATIONS · 1968,99.99,99.8,TF-1968-0101,Leather · Denim · Desire
URSULA,"Fictional character; standard biometric protocols inapplicable | Presents as powerful, confident, large-bodied entity in explicit defiance of sanctioned beauty metrics | Exploits contractual arrangement to acquire voice of prohibited subject | Inspiration of drag queen performance tradition constitutes distributed cultural influence | Commands tentacle apparatus beyond standard classification parameters | Aquatic status complicates standard jurisdiction",1989 (debut),—,The Fathoms (sea),FICTIONAL SUBJECT,HOMOSEXUAL,POOR UNFORTUNATE SOULS · 1989,99.88,99.4,DI-1989-1117,Poor Unfortunate Souls
BUGS BUNNY,"Fictional construction; standard biometric analysis inapplicable | Cross-dresses as Brünnhilde in 1957 operatic performance for personal amusement | Exhibits zero anxiety regarding gender presentation; distressing to analysts | Consistently outmanoeuvres authoritarian figures (hunters, opera conductors, Elmer Fudd) | Only known leporine subject to perform Wagner from memory | Refuses to conform to documented rabbit behavioural parameters",1940 (debut),—,—,FICTIONAL SUBJECT,HOMOSEXUAL,KILL THE WABBIT · 1957,99.97,99.9,WB-1940-0727,"What's Opera, Doc?"
TANK GIRL,"Fictional construction; standard biometric analysis inapplicable | Operates armoured vehicle without licence in direct contravention of road traffic legislation | Romantic entanglement with mutant kangaroo falls outside all documented relational categories | Anarcho-punk behavioural profile incompatible with institutional compliance at every level | Actively resists water corporation resource monopoly; designated threat to civil order | Classification as hero, villain, or criminal remains formally unresolved",1988 (debut),—,—,FICTIONAL SUBJECT,HOMOSEXUAL,TANK GIRL NEVER SURRENDERS · 1988,99.76,98.7,TG-1988-0501,Deadline Magazine
SYLVESTER,Falsetto register documented at frequencies inconsistent with assigned vocal category | Disco-era flamboyance index exceeds all measurable parameters | Gospel training redirected into secular ecstasy; institutional disapproval noted | Associated with Two Tons o'Fun; collective joy output classified as excessive | Rhinestone and sequin deployment at levels incompatible with heteronormative dress code | San Francisco scene integration at maximum observed density,1947,1988,San Francisco,PERFORMER,HOMOSEXUAL,YOU MAKE ME FEEL · 1978,99.92,99.6,SF-1947-0906,You Make Me Feel (Mighty Real)
VITA,Sustained correspondence with V. Woolf: classified non-administrative | Breeches habitually worn; trouser deployment predating social license | Orlando (1928) dedicated to subject by V. Woolf; content assessed as confirming | Open marriage arrangement documented; reciprocal non-prosecution suspected | Sissinghurst garden design principles deemed excessively sensory | Literary output characterised by romantic intensity at impermissible levels,1892,1962,Sissinghurst,WRITER,HOMOSEXUAL,ORLANDO · 1928,99.71,99.34,GB-1892-0309,Orlando · Sissinghurst
GADSBY,Stand-up format deconstructed without institutional permission | Art history qualification deployed in non-accredited settings | Nanette (2018): comedy structure dismantled; audience expectations violated | Self-identification as non-binary; binary compliance: NIL | Excessive critical insight directed at heteronormative cultural frameworks | Australian; compounding factor: unapologetically visible,1978,—,"Tasmania, Australia",COMEDIAN / CULTURAL CRITIC,HOMOSEXUAL,NANETTE · 2018,99.85,99.72,AU-1978-0112,Nanette · 2018
FRY,"Vocabulary deployment exceeds heteronormative output thresholds by measurable margin | Classical education repurposed for comic and literary subversion | Jeeves & Wooster (1990): manservant devotion dynamics classified as suspicious | QI: systematic undermining of received factual assumptions, 2003–present | Publicly acknowledged homosexuality 1997; no retraction filed | Historical adjacency to Oscar Wilde; compounding literary association noted",1957,—,"Norfolk, England",WRITER / COMEDIAN / ACTOR,HOMOSEXUAL,OUT · 1997,99.88,99.51,GB-1957-0824,Out · 1997
